Nama_Sekolah,poskod_sekolah,bandar_sekolah,email_sekolah,alamat_sekolah
SMK Air Merah,09000,Kulim,information@smk_air_merah.edu.my,"Jalan Air Merah, 09000 Kulim, Kedah"
SMK St. Anne's Convent,09000,Kulim,information@smk_st_annes_convent.edu.my,"Jalan Tunku Asaad, 09000 Kulim, Kedah"
SMK Sultan Badlishah,09000,Kulim,information@smk_sultan_badlishah.edu.my,"Jalan Pondok Labu, 09000 Kulim, Kedah"
SMK Sungai Karangan,09410,Padang Serai,information@smk_sungai_karangan.edu.my,"Kampung Sungai Karangan, 09050 Sungai Karangan, Kedah"
SMK Sungai Kob,09700,Karangan,information@smk_sungai_kob.edu.my,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah"
SMK Taman Hitech,09000,Kulim,information@smk_taman_hitech.edu.my,"Persiaran Kulim Hi-Tech 3, 09090 Kulim, Kedah"
SMK Taman Jelutong,09000,Kulim,information@smk_taman_jelutong.edu.my,"Taman Jelutong, 09000 Kulim, Kedah"
SMK Taman Kenari,09000,Kulim,information@smk_taman_kenari.edu.my,"Taman Kenari, 09000 Kulim, Kedah"
SMK Taman Mutiara,09700,Karangan,information@smk_taman_mutiara.edu.my,"Taman Mutiara, 09000 Kulim, Kedah"
SMK Taman Selasih,09000,Kulim,information@smk_taman_selasih.edu.my,"Taman Selasih, 09000 Kulim, Kedah"
SMK Labu Besar,09010,Kulim,information@smk_labu_besar.edu.my,"Kampung Labu Besar, 09000 Kulim, Kedah"
SMK Lunas,09600,Lunas,information@smk_lunas.edu.my,"Jalan Lunas, 09010 Lunas, Kedah"
SMK Mahang,09700,Karangan,information@smk_mahang.edu.my,"Kampung Mahang, 09080 Mahang, Kedah"
SMK Padang Serai,09400,Padang Serai,information@smk_padang_serai.edu.my,"Jalan Padang Serai, 09080 Padang Serai, Kedah"
SMK Junjung,09000,Kulim,information@smk_junjung.edu.my,"Kampung Junjung, 09000 Kulim, Kedah"
SMK Jalan Paya Besar,09600,Lunas,information@smk_jalan_paya_besar.edu.my,"Jalan Paya Besar, 09000 Kulim, Kedah"
SMK Keladi,09000,Kulim,information@smk_keladi.edu.my,"Jalan Keladi, 09000 Kulim, Kedah"
